# 离散节点, Euelr法数值解, Euler法误差, 改进Euler数值解, 改进Euler法误差, 解析解
0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,1.00000000
0.10000000,1.10000000,-0.00455488,1.09590909,-0.00046398,1.09544512
0.20000000,1.19181818,-0.00860223,1.18409657,-0.00088061,1.18321596
0.30000000,1.27743783,-0.01252677,1.26620136,-0.00129030,1.26491106
0.40000000,1.35821260,-0.01657181,1.34336015,-0.00171936,1.34164079
0.50000000,1.43513292,-0.02091936,1.41640193,-0.00218837,1.41421356
0.60000000,1.50896625,-0.02572656,1.48595560,-0.00271590,1.48323970
0.70000000,1.58033824,-0.03114490,1.55251409,-0.00332075,1.54919334
0.80000000,1.64978343,-0.03733188,1.61647478,-0.00402323,1.61245155
0.90000000,1.71777935,-0.04445929,1.67816636,-0.00484631,1.67332005
1.00000000,1.78477083,-0.05272002,1.73786740,-0.00581659,1.73205081
